SampleID,       process,                        xsectioninpb,           kfactor,        filtefficiency, xsecunc,        generator
301006,         DYee_1000M1250,              0.0042585,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301007,         DYee_1250M1500,              0.001422,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301008,         DYee_1500M1750,              0.00054521,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301009,         DYee_1750M2000,              0.00022991,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301010,         DYee_2000M2250,              0.00010387,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301011,         DYee_2250M2500,              0.0000494,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301012,         DYee_2500M2750,              0.000024452,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301013,         DYee_2750M3000,              0.000012487,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301014,         DYee_3000M3500,              0.000010029,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301015,         DYee_3500M4000,              0.0000029342,      1.0,    1.0,     1.,    PowhegPythiaEvtGen
301016,         DYee_4000M4500,              0.00000089764,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301017,         DYee_4500M5000,              0.00000028071,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301018,         DYee_5000M,                  0.00000012649,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301020,         DYmumu_120M180,              17.477,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301021,         DYmumu_180M250,              2.9215,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301022,         DYmumu_250M400,              1.0819,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301023,         DYmumu_400M600,              0.1955,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301024,         DYmumu_600M800,              0.037401,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301025,         DYmumu_800M1000,             0.010607,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301026,         DYmumu_1000M1250,            0.0042582,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301027,         DYmumu_1250M1500,            0.0014219,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301028,         DYmumu_1500M1750,            0.00054521,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301029,         DYmumu_1750M2000,            0.00022991,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301030,         DYmumu_2000M2250,            0.00010387,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301031,         DYmumu_2250M2500,            0.0000494,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301032,         DYmumu_2500M2750,            0.000024452,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301033,         DYmumu_2750M3000,            0.000012487,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301034,         DYmumu_3000M3500,            0.000010027,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301035,         DYmumu_3500M4000,            0.0000029341,      1.0,    1.0,     1.,    PowhegPythiaEvtGen
301036,         DYmumu_4000M4500,            0.00000089759,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301037,         DYmumu_4500M5000,            0.00000028069,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301038,         DYmumu_5000M,                0.00000012643,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301040,         DYtautau_120M180,            17.476,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301041,         DYtautau_180M250,            2.9213,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301042,         DYtautau_250M400,            1.0819,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301043,         DYtautau_400M600,            0.1955,            1.0,    1.0,     1.,    PowhegPythiaEvtGen
301044,         DYtautau_600M800,            0.037401,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301045,         DYtautau_800M1000,           0.010607,          1.0,    1.0,     1.,    PowhegPythiaEvtGen
301046,         DYtautau_1000M1250,          0.0042582,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301047,         DYtautau_1250M1500,          0.0014219,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301048,         DYtautau_1500M1750,          0.00054521,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301049,         DYtautau_1750M2000,          0.00022991,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301050,         DYtautau_2000M2250,          0.00010387,        1.0,    1.0,     1.,    PowhegPythiaEvtGen
301051,         DYtautau_2250M2500,          0.0000494,         1.0,    1.0,     1.,    PowhegPythiaEvtGen
301052,         DYtautau_2500M2750,          0.000024453,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301053,         DYtautau_2750M3000,          0.000012488,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301054,         DYtautau_3000M3500,          0.000010028,       1.0,    1.0,     1.,    PowhegPythiaEvtGen
301055,         DYtautau_3500M4000,          0.0000029343,      1.0,    1.0,     1.,    PowhegPythiaEvtGen
301056,         DYtautau_4000M4500,          0.00000089765,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301057,         DYtautau_4500M5000,          0.00000028073,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
301058,         DYtautau_5000M,              0.00000012645,     1.0,    1.0,     1.,    PowhegPythiaEvtGen
