SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
129490 ,		 0.6488 ,		 1.0 ,		 0.35414 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->munumumu(CT10)
129491 ,		 0.1125 ,		 1.0 ,		 0.16023 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->munutautau(CT10)
129492 ,		 0.9359 ,		 1.0 ,		 0.14803 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->taunuee(CT10)
129493 ,		 0.639 ,		 1.0 ,		 0.18657 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->taunumumu(CT10)
129494 ,		 0.1107 ,		 1.0 ,		 0.056651 ,		 -- ,		 -999 ,		 1 ,		 Powheg ,		 W-Z->taunutautau(CT10)

161961 ,		 2.5102 ,		 1.0 ,		 1 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 WZ->lllnu(CT10)
161987 ,		 0.012559 ,		 1.0 ,		 1 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 WZ->lllnu+jj(6EWcoupling)(CT10)
105987 ,		 22.258 ,		 1.0 ,		 0.30546 ,		 -- ,		 -999 ,		 2 ,		 Herwig ,		 InclusiveWZ_1lepEF(CTEQ6L1)

146890 ,		 5.6 ,		 2.01 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnuee(mll<7GeV)(CTEQ6L1)
146892 ,		 1.3777 ,		 2.01 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnumumu(mll<7GeV)(CTEQ6L1)
146894 ,		 0.14717 ,		 2.01 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnutautau(mll<7GeV)(CTEQ6L1)
146891 ,		 0.33705 ,		 1.51 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnuee(mll>7GeV)(CTEQ6L1)
146893 ,		 0.33777 ,		 1.51 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnumumu(mll>7GeV)(CTEQ6L1)
146895 ,		 0.34801 ,		 1.51 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 MadGraph ,		 Wgamma*->lnutautau(mll>7GeV)(CTEQ6L1)

169850 ,		 6.33968 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 Wgamma*->lnuee(mll<7GeV)
169851 ,		 1.53575 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 Wgamma*->lnumumu(mll<7GeV)
169852 ,		 0.13155 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 Wgamma*->lnutautau(mll<7GeV)
181452 ,		 10.175 ,		 0.944 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 Wgamma*->lnuee(mll<7GeV)+1p
181453 ,		 2.535 ,		 0.944 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 Wgamma*->lnumumu(mll<7GeV)+1p
181454 ,		 0.228 ,		 0.944 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 Wgamma*->lnutautau(mll<7GeV)+1p

126937 ,		 0.0735 ,		 1.0 ,		 0.90765 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->4e(mll>4GeV)(CT10)
126938 ,		 0.1708 ,		 1.0 ,		 0.82724 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->2e2mu(mll>4GeV)(CT10)
126939 ,		 0.1708 ,		 1.0 ,		 0.58278 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->2e2tau(mll>4GeV)(CT10)
126940 ,		 0.0735 ,		 1.0 ,		 0.91241 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->4mu(mll>4GeV)(CT10)
126941 ,		 0.1708 ,		 1.0 ,		 0.58725 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->2mu2tau(mll>4GeV)(CT10)
126942 ,		 0.0735 ,		 1.0 ,		 0.10604 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->4tau(mll>4GeV)(CT10)
