SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
"169103","0.0109789","1.0","0.59779","--","460","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169104","0.0098814","1.0","0.60133","--","480","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169105","0.0089471","1.0","0.60476","--","500","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169106","0.0081194","1.0","0.60303","--","520","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169107","0.0073941","1.0","0.60767","--","540","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169108","0.0067565","1.0","0.60456","--","560","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169109","0.0061873","1.0","0.60706","--","580","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169110","0.0056749","1.0","0.60558","--","600","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169111","0.0046413","1.0","0.60563","--","650","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169112","0.0038341","1.0","0.60753","--","700","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169113","0.0032203","1.0","0.60788","--","750","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169114","0.0027218","1.0","0.61083","--","800","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169115","0.0023420","1.0","0.61104","--","850","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169116","0.0020227","1.0","0.61194","--","900","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169117","0.0017750","1.0","0.61096","--","950","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169118","0.0015639","1.0","0.61146","--","1000","1","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(CPS)"
"169120","0.0320212","1.0","0.58792","--","300","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169121","0.0155367","1.0","0.59576","--","400","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169122","0.0089471","1.0","0.60311","--","500","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169123","0.0056749","1.0","0.60451","--","600","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169124","0.0038341","1.0","0.60965","--","700","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
