SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
147041,8127.1,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+0p,Full
147042,1792.5,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+1p,Full
147043,542.21,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+2p,Full
147044,147.64,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+3p,Full
147045,37.738,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+4p,Full
147046,11.905,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wtaunu+5p,Full
200256,52.237,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wbb+0p(nocut),Full
200257,45.628,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wbb+1p(nocut),Full
200258,23.955,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wbb+2p(nocut),Full
200259,13.633,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wbb+3p(nocut),Full
200056,759.0,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wc+0p(nocut),Full
200057,274.47,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wc+1p(nocut),Full
200058,71.643,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wc+2p(nocut),Full
200059,16.482,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wc+3p(nocut),Full
200060,4.7824,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wc+4p(nocut),Full
200156,149.39,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wcc+0p(nocut),Full
200157,143.9,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wcc+1p(nocut),Full
200158,84.227,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wcc+2p(nocut),Full
200159,44.277,1.15,1.0,--,-999,2,Alpgen+Pythia6(Auto),Wcc+3p(nocut),Full
147806,1150.1,1.0,1.0,--,-999,2,Powheg+Pythia8,Z->ee(60<M),Full
147807,1150.1,1.0,1.0,--,-999,2,Powheg+Pythia8,Z->mumu(60<M),Full
147808,1150.1,1.0,1.0,--,-999,2,Powheg+Pythia8,Z->tautau(60<M),Full
147770,1241.2,1.0,1.0,--,-999,2,Sherpa,Z->ee(40<M),Full
147771,1241.2,1.0,1.0,--,-999,2,Sherpa,Z->mumu(40<M),Full
147772,1241.2,1.0,1.0,--,-999,2,Sherpa,Z->tautau(40<M),Full
173041,97.364,1.0,1.0,--,-999,2,Sherpa,Z->ee(8<M<15GeV),Full
173042,295.08,1.0,1.0,--,-999,2,Sherpa,Z->ee(15<M<40GeV),Full
173043,97.364,1.0,1.0,--,-999,2,Sherpa,Z->mumu(8<M<15GeV),Full
173044,295.08,1.0,1.0,--,-999,2,Sherpa,Z->mumu(15<M<40GeV),Full
173045,97.364,1.0,1.0,--,-999,2,Sherpa,Z->tautau(8<M<15GeV),Full
173046,295.08,1.0,1.0,--,-999,2,Sherpa,Z->tautau(15<M<40GeV),Full
147773,6648.7,1.0,1.0,--,-999,2,Sherpa,Z->nunu,Full
107650,711.77,1.23,1.0,--,-999,1,Alpgen+Herwig,Zee+0p(60<M<2000GeV),Full
107651,155.17,1.23,1.0,--,-999,1,Alpgen+Herwig,Zee+1p(60<M<2000GeV),Full
107652,48.745,1.23,1.0,--,-999,1,Alpgen+Herwig,Zee+2p(60<M<2000GeV),Full
107653,14.225,1.23,1.0,--,-999,1,Alpgen+Herwig,Zee+3p(60<M<2000GeV),Full
107654,3.7595,1.23,1.0,--,-999,1,Alpgen+Herwig,Zee+4p(60<M<2000GeV),Full
107655,1.0945,1.23,1.0,--,-999,2,Alpgen+Herwig,Zee+5p(60<M<2000GeV),Full
107660,712.11,1.23,1.0,--,-999,1,Alpgen+Herwig,Zmumu+0p(60<M<2000GeV),Full
107661,154.77,1.23,1.0,--,-999,1,Alpgen+Herwig,Zmumu+1p(60<M<2000GeV),Full
107662,48.912,1.23,1.0,--,-999,1,Alpgen+Herwig,Zmumu+2p(60<M<2000GeV),Full
107663,14.226,1.23,1.0,--,-999,1,Alpgen+Herwig,Zmumu+3p(60<M<2000GeV),Full
107664,3.7838,1.23,1.0,--,-999,1,Alpgen+Herwig,Zmumu+4p(60<M<2000GeV),Full
107665,1.1148,1.23,1.0,--,-999,2,Alpgen+Herwig,Zmumu+5p(60<M<2000GeV),Full
107670,711.81,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+0p(60<M<2000GeV),Full
107671,155.13,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+1p(60<M<2000GeV),Full
107672,48.804,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+2p(60<M<2000GeV),Full
107673,14.16,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+3p(60<M<2000GeV),Full
