SampleID, xsectioninpb
301151, 9.3349e-05
301152, 4.6259e-05
301153, 2.3476e-05
301154, 1.845e-05
301155, 5.0968e-06
301156, 1.4307e-06
301157, 4.0127e-07
301158, 1.5346e-07
301160, 22.198
301161, 3.2852
301162, 1.0832
301163, 0.17541
301164, 0.03098
301165, 0.0082865
301166, 0.0031594
301167, 0.0010029
301168, 0.00036812
301169, 0.00014945
301170, 6.5311e-05
301171, 3.0167e-05
301172, 1.4549e-05
301173, 7.2592e-06
301174, 5.6692e-06
301175, 1.5975e-06
301176, 4.721e-07
301177, 1.4279e-07
301178, 6.1624e-08
361300, 17217.759
361303, 419.458903
361306, 55.8122138
361309, 3.75707147
361312, 0.224587051
361315, 0.0368730681
361318, 0.00497972474
361321, 3.0371645e-05
361324, 17340.6393
361327, 419.506841
361330, 55.8414945
361333, 3.77548401
361336, 0.222600268
361339, 0.0388718077
361342, 0.00472017749
361345, 1.91286068e-05
361348, 17314.4291
361351, 419.122578
361354, 55.9163873
361357, 3.74742736
361360, 0.216831469
361363, 0.038152426
361366, 0.00481164958
361369, 1.96461631e-05
361301, 957.166426
361304, 101.537442
361307, 16.8384611
361310, 1.27507885
361313, 0.0836755887
361316, 0.0118417847
361319, 0.00193948477
361322, 8.36763608e-06
361325, 919.881793
361328, 100.564174
361331, 16.649629
361334, 1.27697619
361337, 0.0828165908
361340, 0.0140238381
361343, 0.00191925827
361346, 8.2446645e-06
361349, 945.692973
361352, 101.503853
361355, 16.7945487
361358, 1.26467479
361361, 0.0814760167
361364, 0.0132998764
361367, 0.00188806801
361370, 7.77912154e-06
361302, 1161.20628
361305, 55.4596346
361308, 9.19142934
361311, 0.747835433
361314, 0.0537338502
361317, 0.0105585741
361320, 0.00146903287
361323, 5.5204995e-06
361326, 1158.53708
361329, 55.5684544
361332, 9.22013311
361335, 0.748206496
361338, 0.0568814561
361341, 0.00962404079
361344, 0.00123820287
361347, 6.23595634e-06
361350, 1159.20574
361353, 55.0384258
361356, 9.25987812
361359, 0.761368739
361362, 0.0552310732
361365, 0.00943118793
361368, 0.00140925572
361371, 5.50955454e-06
363331, 15821.9693
363334, 375.759077
363337, 50.1733582
363340, 3.45043849
363343, 0.209886778
363346, 0.0398846888
363349, 0.00486806473
363352, 1.42449481e-05
363436, 15795.1949
363439, 377.749548
363442, 50.1178775
363445, 3.69138632
363448, 0.213331248
363451, 0.0371111649
363454, 0.00478857038
363457, 1.23483797e-05
363460, 15813.6778
363463, 376.415316
363466, 50.212399
363469, 3.43822385
363472, 0.211528021
363475, 0.0369641716
363478, 0.00464504832
363481, 1.29729692e-05
363332, 2683.83259
363335, 144.539591
363338, 22.558817
363341, 1.6879565
363344, 0.108804181
363347, 0.0192742498
363350, 0.0025102896
363353, 8.70735605e-06
363437, 2675.17332
363440, 145.131941
363443, 22.6173594
