SampleID , xsection , kfactor , filtereff , uncertainty , mh , generator , process , simulation
# Units on xsection in this file are in nb, not the default pb!  You MUST specify this correctly in your analyze step.

# This file contains a list of DSIDs and their cross section and serves as a comprehensive example.
# If you happen to find a mistake in this file, please report it, because a version of this file
# is used for the HWW analysis.

###################################################################################################################################################################
###################################################################################################################################################################
# 																		signal 																					  #
###################################################################################################################################################################
###################################################################################################################################################################

344384, 1.837E-07, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_vmuvmuWWlvlv, OFLCOND-RUN12-SDR-30
344385, 7.667E-07, 1.0, 0.43925,    --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_vmuvmuWWlvqq, OFLCOND-RUN12-SDR-30
344386, 1.837E-07, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_vtauvtauWWlvlv, OFLCOND-RUN12-SDR-30
344387, 7.667E-07, 1.0, 0.43977,    --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_ggZH125_vtauvtauWWlvqq, OFLCOND-RUN12-SDR-30
345446, 2.786E-07, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_ggZH125J_MINLO_llWWlvlv, DUMMY
# ==================================================================================================================================
# 2019/09/23 -- MJB: new ggZH sample
346524, 2.802780E-06, 1.0, 1.0, --, 125.09, Powheg+Pythia8(v.235)+EvtGen(v.1.6.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_ggZH125J_MINLO_ZinclWWlvlv, OFLCOND-MC16-SDR-16
# ==================================================================================================================================

### SM WH tautau
342684, 3.753E-06, 1.0, 6.0602E-01, --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_evtautau, OFLCOND-RUN12-SDR-30
342685, 3.753E-06, 1.0, 6.0594E-01, --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_muvtautau, OFLCOND-RUN12-SDR-30
342686, 3.753E-06, 1.0, 7.9747E-01, --, 125,  PowhegPythia8EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_tauvtautau, OFLCOND-RUN12-SDR-30
